symbol,price,volume,timestamp
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
AAPL,269.05,50194583,2025-11-03
